PLAYER_ID,RAPM,PLAYER,TeamID,id,Team
1628886,1.1504864679030882,Jordin Canada,1611661330.0,1611661330.0,Atlanta Dream
1641687,-0.9185471183867402,,,,
1641690,-0.6443619428107827,,,,
1628890,-0.0793361345109499,,,,
1642210,0.7860058055342314,Julie Vanloo,1611661320.0,1611661320.0,Los Angeles Sparks
1628899,-0.18612534084947188,Myisha Hines-Allen,1611661321.0,1611661321.0,Dallas Wings
1641698,-0.4899632168252759,,,,
1629490,0.1546047738154072,Kitija Laksa,1611661317.0,1611661317.0,Phoenix Mercury
1630442,-0.42226393432907894,Natasha Mack,1611661317.0,1611661317.0,Phoenix Mercury
1628909,0.5113889128757593,Kelsey Mitchell,1611661325.0,1611661325.0,Indiana Fever
1630446,0.37909635005317444,Michaela Onyenwere,1611661329.0,1611661329.0,Chicago Sky
1628915,-2.192762666496651,Kia Nurse,1611661329.0,1611661329.0,Chicago Sky
1628920,-1.2254015422315607,,,,
1628922,-2.0485973875193038,Azurá Stevens,1611661320.0,1611661320.0,Los Angeles Sparks
1630461,0.27674584970614535,Kiana Williams,1611661317.0,1611661317.0,Phoenix Mercury
1630462,-0.1606579377484079,Aari McDonald,1611661325.0,1611661325.0,Indiana Fever
1628927,-0.2579275207880088,,,,
1642240,-1.104836731174543,,,,
1628929,-0.054493684080193616,,,,
1628926,0.49698206896740493,Maria Kliundikova,1611661324.0,1611661324.0,Minnesota Lynx
1628931,-0.38390126351836534,Gabby Williams,1611661328.0,1611661328.0,Seattle Storm
1628932,1.2108314030158231,A'ja Wilson,1611661319.0,1611661319.0,Las Vegas Aces
1642244,-1.5708282659475286,,,,
203014,1.9752689822716532,Nneka Ogwumike,1611661328.0,1611661328.0,Seattle Storm
1630471,-2.0261113615408144,Maya Caldwell,1611661330.0,1611661330.0,Atlanta Dream
1642767,-0.2632351102838137,Janelle Salaün,1611661331.0,1611661331.0,Golden State Valkyries
203024,0.9085022436774914,Damiris Dantas,1611661325.0,1611661325.0,Indiana Fever
203026,0.08513628895596001,Tiffany Hayes,1611661331.0,1611661331.0,Golden State Valkyries
1630996,0.7839014685928613,Rae Burrell,1611661320.0,1611661320.0,Los Angeles Sparks
203029,-0.0,,,,
201496,1.4480065182379607,,,,
1642777,2.2860799779158913,Monique Akoa Makani,1611661317.0,1611661317.0,Phoenix Mercury
1631002,-0.30357868207235716,,,,
203035,0.8658718591289951,,,,
1628957,1.1461182861490238,Kathryn Westbeld,1611661317.0,1611661317.0,Phoenix Mercury
1631006,-0.6674727052486463,Kierstan Bell,1611661319.0,1611661319.0,Las Vegas Aces
1631007,1.7514067032925857,Veronica Burton,1611661331.0,1611661331.0,Golden State Valkyries
1642782,-0.28646229486811,Sarah Ashlee Barker,1611661320.0,1611661320.0,Los Angeles Sparks
1631009,1.4387722790908897,Rhyne Howard,1611661330.0,1611661330.0,Atlanta Dream
1642784,-0.09095578734451168,Paige Bueckers,1611661321.0,1611661321.0,Dallas Wings
1642781,-0.0,Georgia Amoore,1611661322.0,1611661322.0,Washington Mystics
1629476,-1.8489967365355522,,,,
1629477,1.4926022868848265,Sabrina Ionescu,1611661313.0,1611661313.0,New York Liberty
1629478,-1.5004408275412335,Katie Lou Samuelson,1611661328.0,1611661328.0,Seattle Storm
1629479,1.0644432532591037,Teaira McCowan,1611661321.0,1611661321.0,Dallas Wings
1629480,-1.9304433129985832,Kalani Brown,1611661317.0,1611661317.0,Phoenix Mercury
1629481,2.0024471687852285,Arike Ogunbowale,1611661321.0,1611661321.0,Dallas Wings
1629482,0.14638961049363072,Sophie Cunningham,1611661325.0,1611661325.0,Indiana Fever
1629483,2.552006593879712,Napheesa Collier,1611661324.0,1611661324.0,Minnesota Lynx
1629484,0.37245612081429597,Megan Gustafson,1611661319.0,1611661319.0,Las Vegas Aces
1631019,-1.5482430800111944,NaLyssa Smith,1611661319.0,1611661319.0,Las Vegas Aces
1642286,1.37387990980722,Caitlin Clark,1611661325.0,1611661325.0,Indiana Fever
1631022,1.4950593743830491,Shakira Austin,1611661322.0,1611661322.0,Washington Mystics
1631021,0.9588317583326464,Sika Koné,1611661322.0,1611661322.0,Washington Mystics
1642289,-0.4203414680435492,Kamilla Cardoso,1611661329.0,1611661329.0,Chicago Sky
1629488,-1.0726657252318592,Brianna Turner,1611661325.0,1611661325.0,Indiana Fever
1642291,-0.7129856656197194,Angel Reese,1611661329.0,1611661329.0,Chicago Sky
1642288,-1.2629940362773213,Rickea Jackson,1611661320.0,1611661320.0,Los Angeles Sparks
1642287,-0.034609111449822316,Cameron Brink,1611661320.0,1611661320.0,Los Angeles Sparks
1629491,0.04955408454030486,Jessica Shepard,1611661324.0,1611661324.0,Minnesota Lynx
1642292,-1.8301763076515962,Jacy Sheldon,1611661323.0,1611661323.0,Connecticut Sun
1642290,-1.457778771491972,Aaliyah Edwards,1611661322.0,1611661322.0,Washington Mystics
1642294,0.29679947186767386,,,,
1631031,-1.397870763152009,,,,
1629496,1.7748541202080064,Ezi Magbegor,1611661328.0,1611661328.0,Seattle Storm
1629497,1.051731009864294,Marina Mabrey,1611661323.0,1611661323.0,Connecticut Sun
1629498,2.31519422244087,Jackie Young,1611661319.0,1611661319.0,Las Vegas Aces
1642298,1.008044446373731,,,,
1629501,1.7556218423123764,Alanna Smith,1611661324.0,1611661324.0,Minnesota Lynx
1642301,-0.2539010411862074,Marquesha Davis,1611661329.0,1611661329.0,Chicago Sky
1642299,-0.31485573191787253,,,,
1642809,-0.7501116704927753,Saniya Rivers,1611661323.0,1611661323.0,Connecticut Sun
1642303,1.2350558127150049,Leïla Lacan,1611661323.0,1611661323.0,Connecticut Sun
1631044,2.043195564243371,Naz Hillmon,1611661330.0,1611661330.0,Atlanta Dream
1642815,0.9747588846325383,Makayla Timpson,1611661325.0,1611661325.0,Indiana Fever
1642307,-0.644650600864385,Mackenzie Holmes,1611661328.0,1611661328.0,Seattle Storm
1642817,-0.39522936065051345,Hailey Van Lith,1611661329.0,1611661329.0,Chicago Sky
1642818,-1.8616215194545398,Maddy Westbeld,1611661329.0,1611661329.0,Chicago Sky
1642304,0.8548407411967699,Carla Leite,1611661331.0,1611661331.0,Golden State Valkyries
1642822,0.47181621146338265,Kaitlyn Chen,1611661331.0,1611661331.0,Golden State Valkyries
1631055,0.315997448928598,Nyara Sabally,1611661313.0,1611661313.0,New York Liberty
1642320,-1.2144987648887142,Jaylyn Sherrod,1611661313.0,1611661313.0,New York Liberty
1631056,-1.2677664805516107,,,,
1629524,0.854445361862677,Bridget Carleton,1611661324.0,1611661324.0,Minnesota Lynx
